"order_date","htime","pizza_name","pizza_category","quantity","pizza_size","unit_price","total"
"2015-01-01",11,The Hawaiian Pizza,Classic,1.0,M,13.25,13.25
"2015-01-01",11,The Classic Deluxe Pizza,Classic,2.0,M,16.0,32.0
"2015-01-01",11,The Five Cheese Pizza,Veggie,1.0,L,18.5,18.5
"2015-01-01",11,The Italian Supreme Pizza,Supreme,2.0,L,20.75,41.5
"2015-01-01",12,The Italian Supreme Pizza,Supreme,3.0,M,16.5,49.5
"2015-01-01",12,The Prosciutto and Arugula Pizza,Supreme,4.0,L,20.75,83.0
"2015-01-01",12,The Barbecue Chicken Pizza,Chicken,1.0,S,12.75,12.75
"2015-01-01",12,The Greek Pizza,Classic,5.0,S,12.0,60.0
"2015-01-01",12,The Spinach Supreme Pizza,Supreme,3.0,S,12.5,37.5
"2015-01-01",12,The Italian Capocollo Pizza,Classic,1.0,L,20.5,20.5
"2015-01-01",13,The Mexicana Pizza,Veggie,5.0,L,20.25,101.25
"2015-01-01",13,The Southwest Chicken Pizza,Chicken,8.0,L,20.75,166.0
"2015-01-01",13,The California Chicken Pizza,Chicken,1.0,M,16.75,16.75
"2015-01-01",13,The Pepperoni Pizza,Classic,1.0,L,15.25,15.25
"2015-01-01",13,The California Chicken Pizza,Chicken,2.0,S,12.75,25.5
"2015-01-01",13,The Italian Supreme Pizza,Supreme,2.0,M,16.5,33.0
"2015-01-01",13,The Greek Pizza,Classic,4.0,S,12.0,48.0
"2015-01-01",13,The Five Cheese Pizza,Veggie,2.0,L,18.5,37.0
"2015-01-01",13,The Four Cheese Pizza,Veggie,1.0,L,17.95,17.95
"2015-01-01",13,The Calabrese Pizza,Supreme,1.0,M,16.25,16.25
"2015-01-01",13,The Four Cheese Pizza,Veggie,1.0,M,14.75,14.75
"2015-01-01",13,The Mediterranean Pizza,Veggie,2.0,M,16.0,32.0
"2015-01-01",13,The Pepper Salami Pizza,Supreme,1.0,S,12.5,12.5
"2015-01-01",13,The Napolitana Pizza,Classic,2.0,L,20.5,41.0
"2015-01-01",14,The Big Meat Pizza,Classic,2.0,S,12.0,24.0
"2015-01-01",14,The Five Cheese Pizza,Veggie,2.0,L,18.5,37.0
"2015-01-01",14,The Italian Capocollo Pizza,Classic,1.0,L,20.5,20.5
"2015-01-01",14,The Italian Capocollo Pizza,Classic,2.0,M,16.0,32.0
"2015-01-01",14,The Southwest Chicken Pizza,Chicken,2.0,L,20.75,41.5
"2015-01-01",14,The Southwest Chicken Pizza,Chicken,1.0,S,12.75,12.75
"2015-01-01",14,The Barbecue Chicken Pizza,Chicken,1.0,M,16.75,16.75
"2015-01-01",14,The Pepperoni Pizza,Classic,1.0,M,12.5,12.5
"2015-01-01",14,The Prosciutto and Arugula Pizza,Supreme,1.0,S,12.5,12.5
"2015-01-01",14,The Sicilian Pizza,Supreme,1.0,M,16.25,16.25
"2015-01-01",14,The Vegetables + Vegetables Pizza,Veggie,1.0,L,20.25,20.25
"2015-01-01",15,The Barbecue Chicken Pizza,Chicken,3.0,L,20.75,62.25
"2015-01-01",15,The Classic Deluxe Pizza,Classic,2.0,M,16.0,32.0
"2015-01-01",15,The Spinach and Feta Pizza,Veggie,2.0,L,20.25,40.5
"2015-01-01",15,The Chicken Alfredo Pizza,Chicken,1.0,S,12.75,12.75
"2015-01-01",15,The Green Garden Pizza,Veggie,3.0,S,12.0,36.0
"2015-01-01",15,The Pepperoni Pizza,Classic,1.0,S,9.75,9.75
"2015-01-01",15,The Italian Capocollo Pizza,Classic,1.0,L,20.5,20.5
"2015-01-01",15,The Italian Supreme Pizza,Supreme,1.0,M,16.5,16.5
"2015-01-01",16,The Greek Pizza,Classic,1.0,S,12.0,12.0
"2015-01-01",16,The Green Garden Pizza,Veggie,2.0,M,16.0,32.0
"2015-01-01",16,"The Pepperoni, Mushroom, and Peppers Pizza",Classic,1.0,L,17.5,17.5
"2015-01-01",16,The Pepperoni Pizza,Classic,1.0,M,12.5,12.5
"2015-01-01",16,The Thai Chicken Pizza,Chicken,2.0,L,20.75,41.5
"2015-01-01",16,The Barbecue Chicken Pizza,Chicken,1.0,M,16.75,16.75
"2015-01-01",16,The Mexicana Pizza,Veggie,1.0,L,20.25,20.25
"2015-01-01",17,The Hawaiian Pizza,Classic,2.0,S,10.5,21.0
"2015-01-01",17,The Italian Capocollo Pizza,Classic,1.0,L,20.5,20.5
"2015-01-01",17,The Italian Supreme Pizza,Supreme,2.0,L,20.75,41.5
"2015-01-01",17,The Four Cheese Pizza,Veggie,2.0,L,17.95,35.9
"2015-01-01",17,The Southwest Chicken Pizza,Chicken,1.0,S,12.75,12.75
